,utmterm,instagram_permalink_url
0,AD17,https://www.instagram.com/p/C1YOilJAw9s/
163260,AD12,https://www.instagram.com/p/C1YOirrg95A/
169074,AD16,https://www.instagram.com/p/C1LQw8NgSsP/
172202,AD21,https://www.instagram.com/p/C1LN_FYAQJg/
177674,AD63,https://www.instagram.com/p/C18R6JEgJ-n/
187124,AD19,https://www.instagram.com/p/C1YOgQNA8NC/
233537,AD71,https://www.instagram.com/p/C1-WH8mgbqd/
234345,AD40,https://www.instagram.com/p/C1dW17PAPiO/
234407,AD35,https://www.instagram.com/p/C1dWz1Hgqq6/
243632,AD30,https://www.instagram.com/p/C1ael27gBcr/
243802,AD9_CTA1,https://www.instagram.com/p/C1GUzjFAx-Y/
244126,AD10_Estatico,https://www.instagram.com/p/C1GcwlFgg1c/
244422,AD06_CTA2,https://www.instagram.com/p/C1GU3AHAOxp/
244990,AD31,https://www.instagram.com/p/C1aelz-ACZF/
245168,AD44,https://www.instagram.com/p/C1dWbvBAHl2/
252476,AD07_CTA1,https://www.instagram.com/p/C1DKL26gWV1/
252499,AD22_belly,https://www.instagram.com/p/C1YNdsNAUAj/
253525,AD51,https://www.instagram.com/p/C1qTBuSN-yZ/
253535,AD72,https://www.instagram.com/p/C1-WH6wgAW5/
253559,AD46,https://www.instagram.com/p/C1nT49VA2MZ/
253595,AD12_V2,https://www.instagram.com/p/C1fD1bFgA1R/
253763,AD8_CTA2,https://www.instagram.com/p/C1DFI3CAQX9/
253771,AD07_Estatico,https://www.instagram.com/p/C1Gcu-agj9V/
253814,AD5_CTA2,https://www.instagram.com/p/C1DFK6AAUYM/
253818,AD53,https://www.instagram.com/p/C1qTJWcNy1t/
253820,AD49,https://www.instagram.com/p/C1nUbJ0Av6P/
253836,Estatico_cascata,https://www.instagram.com/p/C12PEMeAlDw/
253849,AD64,https://www.instagram.com/p/C18R7iygjy5/
253850,AD07_CTA2,https://www.instagram.com/p/C1DKLyzg2C5/
253852,AD32,https://www.instagram.com/p/C1aelwMgqKN/
253854,Estatico_ziper,https://www.instagram.com/p/C12PEXHgk1g/
253866,AD20,https://www.instagram.com/p/C1LN-16g36e/
253872,AD05_Estatico,https://www.instagram.com/p/C1GcugmAdYd/
253873,AD62,https://www.instagram.com/p/C18R7_5AHWx/
253877,AD01_CTA1_FEED,https://www.instagram.com/p/C1C93srASvi/
253884,AD33,https://www.instagram.com/p/C1ael7Pg2ox/
253896,AD5_CTA1,https://www.instagram.com/p/C1DFZ5kg9nG/
253912,AD12_Estatico,https://www.instagram.com/p/C1GcwF3geuz/
253918,AD04_Estatico,https://www.instagram.com/p/C1GcvahAhid/
253919,AD42,https://www.instagram.com/p/C1dWatQApWv/
253922,AD69,https://www.instagram.com/p/C176k0pAS3J/
253923,AD13,https://www.instagram.com/p/C1LQgmWgyQk/
253944,AD65,https://www.instagram.com/p/C18R72CgPin/
253945,AD9_CTA2,https://www.instagram.com/p/C14Qr5iAIh8/
253950,AD50,https://www.instagram.com/p/C1nT4zHAPdz/
253962,AD10_CTA2,https://www.instagram.com/p/C1DFdPMgBEt/
253972,AD38,https://www.instagram.com/p/C1dWmGqg-RI/
253974,AD48,https://www.instagram.com/p/C1nUPrIg7b2/
253978,AD61,https://www.instagram.com/p/C18SLChA7Yc/
253999,AD01_CTA2,https://www.instagram.com/p/C1DBGZEgpjs/
254001,AD47,https://www.instagram.com/p/C1nUQs6gA0G/
254003,AD34,https://www.instagram.com/p/C1dWz8mA_Jw/
254005,AD59,https://www.instagram.com/p/C18SFkTgiQ0/
