adslinks_id,anuncio,link_anuncio
0,Ad17,https://www.instagram.com/p/C1YOilJAw9s/
163260,Ad12,https://www.instagram.com/p/C1YOirrg95A/
169074,Ad16,https://www.instagram.com/p/C1LQw8NgSsP/
172202,Ad21,https://www.instagram.com/p/C1LN_FYAQJg/
177674,Ad63,https://www.instagram.com/p/C18R6JEgJ-n/
187124,Ad19,https://www.instagram.com/p/C1YOgQNA8NC/
233537,Ad71,https://www.instagram.com/p/C1-WH8mgbqd/
234345,Ad40,https://www.instagram.com/p/C1dW17PAPiO/
234407,Ad35,https://www.instagram.com/p/C1dWz1Hgqq6/
243632,Ad30,https://www.instagram.com/p/C1ael27gBcr/
243802,Ad9_cta1,https://www.instagram.com/p/C1GUzjFAx-Y/
244126,Ad10_estatico,https://www.instagram.com/p/C1GcwlFgg1c/
244422,Ad06_cta2,https://www.instagram.com/p/C1GU3AHAOxp/
244990,Ad31,https://www.instagram.com/p/C1aelz-ACZF/
245168,Ad44,https://www.instagram.com/p/C1dWbvBAHl2/
252476,Ad07_cta1,https://www.instagram.com/p/C1DKL26gWV1/
252499,Ad22_belly,https://www.instagram.com/p/C1YNdsNAUAj/
253525,Ad51,https://www.instagram.com/p/C1qTBuSN-yZ/
253535,Ad72,https://www.instagram.com/p/C1-WH6wgAW5/
253559,Ad46,https://www.instagram.com/p/C1nT49VA2MZ/
253595,Ad12_v2,https://www.instagram.com/p/C1fD1bFgA1R/
253763,Ad8_cta2,https://www.instagram.com/p/C1DFI3CAQX9/
253771,Ad07_estatico,https://www.instagram.com/p/C1Gcu-agj9V/
253814,Ad5_cta2,https://www.instagram.com/p/C1DFK6AAUYM/
253818,Ad53,https://www.instagram.com/p/C1qTJWcNy1t/
253820,Ad49,https://www.instagram.com/p/C1nUbJ0Av6P/
253836,Estatico_cascata,https://www.instagram.com/p/C12PEMeAlDw/
253849,Ad64,https://www.instagram.com/p/C18R7iygjy5/
253850,Ad07_cta2,https://www.instagram.com/p/C1DKLyzg2C5/
253852,Ad32,https://www.instagram.com/p/C1aelwMgqKN/
253854,Estatico_ziper,https://www.instagram.com/p/C12PEXHgk1g/
253866,Ad20,https://www.instagram.com/p/C1LN-16g36e/
253872,Ad05_estatico,https://www.instagram.com/p/C1GcugmAdYd/
253873,Ad62,https://www.instagram.com/p/C18R7_5AHWx/
253877,Ad01_cta1_feed,https://www.instagram.com/p/C1C93srASvi/
253884,Ad33,https://www.instagram.com/p/C1ael7Pg2ox/
253896,Ad5_cta1,https://www.instagram.com/p/C1DFZ5kg9nG/
253912,Ad12_estatico,https://www.instagram.com/p/C1GcwF3geuz/
253918,Ad04_estatico,https://www.instagram.com/p/C1GcvahAhid/
253919,Ad42,https://www.instagram.com/p/C1dWatQApWv/
253922,Ad69,https://www.instagram.com/p/C176k0pAS3J/
253923,Ad13,https://www.instagram.com/p/C1LQgmWgyQk/
253944,Ad65,https://www.instagram.com/p/C18R72CgPin/
253945,Ad9_cta2,https://www.instagram.com/p/C14Qr5iAIh8/
253950,Ad50,https://www.instagram.com/p/C1nT4zHAPdz/
253962,Ad10_cta2,https://www.instagram.com/p/C1DFdPMgBEt/
253972,Ad38,https://www.instagram.com/p/C1dWmGqg-RI/
253974,Ad48,https://www.instagram.com/p/C1nUPrIg7b2/
253978,Ad61,https://www.instagram.com/p/C18SLChA7Yc/
253999,Ad01_cta2,https://www.instagram.com/p/C1DBGZEgpjs/
254001,Ad47,https://www.instagram.com/p/C1nUQs6gA0G/
254003,Ad34,https://www.instagram.com/p/C1dWz8mA_Jw/
254005,Ad59,https://www.instagram.com/p/C18SFkTgiQ0/
